name,reviews
Lauren Bailey,"First week and already in love with this institution, money deposited 2 days early and already rebuilding my credit"
Vh,Easy to use. Give higher payout than other apps I have used. Very happy with experience.
rafael garcia,MoneyLion makes it easy too manage your funds and has been nothing but outstanding and hassle free.
Johnny Dough,Roar money gives you more money in your pocket when you save.
Wendy Bryant,Great app always come in with a little bit money when I'm in a pinch and need it most absolutely love it 5 stars
Jake,It is so awesome I have lost so much money and falling in love with God so much more thank you money lion
Judgement.,App is easy to navigate. Received advance fast
Richard Knowles,"Needed fast cash, I got it right away so iam happy"
Steven Gates,Money Lion was there when I needed them.
Felecia Henderson,Get out of a bind when needed!
Juan Carlos Giron,"Best app to use when building credit, or need a fast payday advance! Highly recommend!!"
CARYN SPEAKS,So easy to use. No issues with them ever. Always able to help if I need my dates changed too
JANICE M ANDERSON,Great I love it come in very handy when you are short of cash and amount go up when paid back on time
Jeremy Creel,My experience was great!! Smooth transactions.
JAY,Been using this app for a few weeks now the small payday loans  help
Barbra Jean Macedo,Very helpful in many financial areas. I appreciate moneylion. Thank you
rebecca,No complaints so far. Impressive
Brigette Duncan,"Completely dissatisfied and beyond upset with all of my recent interactions with customer service and it’s features. Switched my direct deposit and all my financial activity to MoneyLion yet not eligible for credit builder plus, agents have no capability with anything besides stating to wait patiently for any concerns regarding my funds, agents do not communicate promptly through sms or email, I have received a $335 cash advance plus another $335 advance that totaled about $650 with fees and was paid on time when it was due. Now I am only eligible for half that amount, on payday. There goes all my hard earned money for repayment but not eligible for a similar amount as the previous advance. If I’m in good standing with an institution and never ever late with repayment along with direct deposit linked, how am I not eligible for a much more reasonable amount? I can go all night with how I’ve been unsatisfied and extremely upset with this institution. When my hold of $120 clears a month from now(unfortunately, that’s how long MoneyLion is taking to process such transaction, I will be considering closing my account and returning to my previous institution. At least there the agents are more helpful and punctual. All my crypto assets I had planned to move over to money lion along with my investments will be canceled immediately. I’ve never been so frustrated and unsatisfied with an institution that handles money and cryptocurrencies as I am now. Most problems do not get resolved and I’m tired being left unsure or confused at an institution that has my hard earned money being direct deposited into. I have a lot of thinking to do but if closing this account is what I have to do then I will proceed with it."
Adam Long,"Helps when your in a bind, if you need a little extra cash to get through til pay day👍"
Yvonne P,I like this app. It comes in handy.
Tawanda Hill,Very easy process and helps keep track of your money
Rafael Ruiz,So easy. Thank you!!
Danny Landers,Always there when I’m in a bind with the instacash!
Johnny Williams,Good. Instacash is super helpful
B Morton,So far I love Money Lion. Free money from shake n’ bank is awesome.
lynn,"Best app for money , fast and reliable transaction"
Travis,Great job I love MoneyLion keep up the amazing work yal do.
Francis Jomi Joseph,Very reliable company and I've learned a lot about financial planning
